,0
0,-31.974102164807725
1,-31.974985833883935
2,-31.97581812685106
3,-31.976803767209645
4,-31.977636060176764
5,-31.978519729252966
6,-31.97935202222009
7,-31.980184315187216
8,-31.981067984263433
9,-31.98190027723055
10,-31.98273257019767
11,-31.98376958666534
12,-31.984601879632457
13,-31.98543417259959
14,-31.986266465566715
15,-31.98715013464291
16,-31.987982427610042
17,-31.988815419292276
18,-31.98969958157912
19,-31.990685632946562
20,-31.991518090317232
21,-31.992401964897866
22,-31.99323434006677
23,-31.99406663303389
24,-31.99489892600102
25,-31.99578304718703
26,-31.996616038869213
27,-31.997602131337548
28,-31.998486047019068
29,-31.99931846328885
30,-32.00015083845774
31,-32.00103528845073
32,-32.0018681979312
33,-32.00270077860456
34,-32.003533564782245
35,-32.004570457947345
36,-32.005403778436595
37,-32.00623644131173
38,-32.00712048029594
39,-32.00795297876752
40,-32.00878621705498
41,-32.00967042044275
42,-32.010503083317886
43,-32.01148913468525
44,-32.0123737490819
45,-32.013206576360595
46,-32.01403911593306
47,-32.014872477523205
48,-32.01575668091097
49,-32.0165893437861
50,-32.01742262317447
51,-32.01846033835724
52,-32.01929296013149
53,-32.02012632172164
54,-32.021010648412066
55,-32.021843352388004
56,-32.0226768372809
57,-32.02356116397132
58,-32.02439415565349
59,-32.025380700231615
60,-32.026264862518495
61,-32.0270983885122
62,-32.02793142129532
63,-32.02876457738105
64,-32.0296491506768
65,-32.03048218345987
66,-32.03146893354242
67,-32.03235317803102
68,-32.033186786226565
69,-32.034019777908796
70,-32.03490455670893
71,-32.03573767169383
72,-32.03657115658666
73,-32.03745556547885
74,-32.03844243886404
75,-32.039275512748034
76,-32.040160497052625
77,-32.04099361203751
78,-32.04182734353567
79,-32.042711916831365
80,-32.04354540172426
81,-32.04437880441532
82,-32.045416930606955
83,-32.0462504566007
84,-32.047083859291796
85,-32.047917467487295
86,-32.04880204078301
87,-32.049635772281206
88,-32.050469257174036
89,-32.051354118176
90,-32.05234115596475
91,-32.05317468195847
92,-32.054059625162196
93,-32.05489335666038
94,-32.05572671825055
95,-32.056611866958725
96,-32.0574455984569
97,-32.05827908334973
98,-32.05931757944936
