,0
0,-409.8148282406862
1,-409.90485517445967
2,-409.9892373842061
3,-410.0792402637579
4,-410.16362247350423
5,-410.2536494072778
6,-410.3380316170241
7,-410.42803449657595
8,-410.51244076054417
9,-410.6024436400959
10,-410.68682584984236
11,-410.7712321138104
12,-410.8612349933622
13,-410.94561720310867
14,-411.03562008266033
15,-411.12002634662844
16,-411.2100292261804
17,-411.2944114359268
18,-411.38443836970026
19,-411.4688205794465
20,-411.55882345899846
21,-411.64322972296657
22,-411.7332326025183
23,-411.8176148122648
24,-411.90761769181654
25,-411.99202395578465
26,-412.0820268353366
27,-412.1664090450828
28,-412.2564359788564
29,-412.34081818860284
30,-412.4308210681546
31,-412.51522733212266
32,-412.60523021167455
33,-412.68961242142086
34,-412.77961530097275
35,-412.86402156494074
36,-412.9540244444926
37,-413.03840665423905
38,-413.1284335880125
39,-413.21281579775894
40,-413.30281867731065
41,-413.39284561108434
42,-413.47722782083065
43,-413.5672307003824
44,-413.6516369643506
45,-413.7416398439025
46,-413.8260220536487
47,-413.9160249332006
48,-414.0004311971686
49,-414.0904340767205
50,-414.174816286467
51,-414.2648432202403
52,-414.3548460997922
53,-414.4392283095385
54,-414.5292552433121
55,-414.6136374530585
56,-414.70364033261035
57,-414.7880465965784
58,-414.8780494761303
59,-414.96434271361085
60,-415.0524586196501
61,-415.1424614992019
62,-415.2268437089483
63,-415.3168465885002
64,-415.40125285246825
65,-415.49125573202014
66,-415.58125861157197
67,-415.66566487554
68,-415.7556677550918
69,-415.84004996483816
70,-415.9300768986117
71,-416.0200797781635
72,-416.1044619879099
73,-416.19448892168344
74,-416.2788711314299
75,-416.3688740109816
76,-416.45890094475516
77,-416.54328315450147
78,-416.63328603405336
79,-416.7176922980215
80,-416.80769517757324
81,-416.89769805712507
82,-416.98210432109323
83,-417.07210720064495
84,-417.15648941039143
85,-417.24649228994315
86,-417.33651922371666
87,-417.4209014334632
88,-417.5109043130148
89,-417.60093124678843
90,-417.68531345653486
91,-417.7753163360867
92,-417.8653432698602
93,-417.9497254796065
94,-418.03972835915835
95,-418.12896839915925
96,-418.21413750267817
97,-418.3041403822301
98,-418.3885466461982
