,0
0,-286.560583684079
1,-286.5912958549819
2,-286.62012488192255
3,-286.6509041756848
4,-286.6797332026253
5,-286.7104453735283
6,-286.7523500864281
7,-286.78305423256984
8,-286.8118912842716
9,-286.8425954304133
10,-286.87142647129747
11,-286.9003366566762
12,-286.93104080281796
13,-286.95986982975853
14,-286.9905739759003
15,-287.0194110276021
16,-287.05011517374385
17,-287.07894506380376
18,-287.1096575635136
19,-287.1385621490832
20,-287.1823424332937
21,-287.2111794849955
22,-287.2418836311372
23,-287.27071265807785
24,-287.30141680421957
25,-287.3302575139006
26,-287.3609600571075
27,-287.389863779559
28,-287.42057640257144
29,-287.449405429512
30,-287.4801095756537
31,-287.50894769597926
32,-287.53965217092787
33,-287.58155717153375
34,-287.6122619752906
35,-287.6411738869055
36,-287.6718800880916
37,-287.7007091150323
38,-287.73142103933
39,-287.7602508882891
40,-287.7909558975489
41,-287.82166802735105
42,-287.8504974241993
43,-287.8812778687869
44,-287.91011598911115
45,-287.9408202585555
46,-287.9696490799917
47,-288.01343170695344
48,-288.04226785443535
49,-288.07297224718224
50,-288.10180283595645
51,-288.1325907709932
52,-288.16329458832803
53,-288.1921250126991
54,-288.2228381700228
55,-288.25166695035915
56,-288.28237315154433
57,-288.31121077865896
58,-288.34191525360814
59,-288.37146091438217
60,-288.41460827145204
61,-288.44531463704135
62,-288.4741453902195
63,-288.50484961856273
64,-288.53368716347524
65,-288.5643912685169
66,-288.59517183640634
67,-288.624010203337
68,-288.6547150070925
69,-288.68354506155583
70,-288.71425916419935
71,-288.74496273492895
72,-288.7737935292076
73,-288.8045067276337
74,-288.8464877389777
75,-288.8771920495232
76,-288.9079059466636
77,-288.9367353846128
78,-288.9674412980929
79,-288.99627876080405
80,-289.0269851674936
81,-289.0576905877628
82,-289.0866029925901
83,-289.11730894717095
84,-289.14614339942864
85,-289.1768448329113
86,-289.2075579902354
87,-289.2494628675393
88,-289.28016968523855
89,-289.31088189724244
90,-289.33978792134303
91,-289.37049367041936
92,-289.40120682774483
93,-289.4300374165182
94,-289.4607416448622
95,-289.491194628248
96,-289.52028678839054
97,-289.55099237306285
98,-289.5799080248602
